"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"F=300 S=720 Sig=60 (warm=780s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=300 S=720 Sig=60 (warm=780s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=720 Sig=60 (warm=780s)","TOTAL","full","376.14","","12","","",""
"F=300 S=720 Sig=120 (warm=840s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=300 S=720 Sig=120 (warm=840s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=720 Sig=120 (warm=840s)","TOTAL","full","376.14","","12","","",""
"F=300 S=720 Sig=180 (warm=900s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=300 S=720 Sig=180 (warm=900s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=720 Sig=180 (warm=900s)","TOTAL","full","376.14","","12","","",""
"F=300 S=720 Sig=300 (warm=1020s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=720 Sig=300 (warm=1020s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=300 S=720 Sig=300 (warm=1020s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1200 Sig=60 (warm=1260s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=1200 Sig=60 (warm=1260s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=1200 Sig=60 (warm=1260s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1200 Sig=120 (warm=1320s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=1200 Sig=120 (warm=1320s)","20260213","full","179.18","1.79","6","182.32","118.80","9"
"F=300 S=1200 Sig=120 (warm=1320s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1200 Sig=180 (warm=1380s)","20260211","full","196.96","1.97","6","205.66","27.93","10"
"F=300 S=1200 Sig=180 (warm=1380s)","20260213","full","179.18","1.79","6","182.32","118.80","9"
"F=300 S=1200 Sig=180 (warm=1380s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1200 Sig=300 (warm=1500s)","20260211","full","196.96","1.97","6","205.66","27.93","9"
"F=300 S=1200 Sig=300 (warm=1500s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=1200 Sig=300 (warm=1500s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1800 Sig=60 (warm=1860s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=1800 Sig=60 (warm=1860s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=1800 Sig=60 (warm=1860s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1800 Sig=120 (warm=1920s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=1800 Sig=120 (warm=1920s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=1800 Sig=120 (warm=1920s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1800 Sig=180 (warm=1980s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=300 S=1800 Sig=180 (warm=1980s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=300 S=1800 Sig=180 (warm=1980s)","TOTAL","full","376.14","","12","","",""
"F=300 S=1800 Sig=300 (warm=2100s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=300 S=1800 Sig=300 (warm=2100s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=300 S=1800 Sig=300 (warm=2100s)","TOTAL","full","376.14","","12","","",""
"F=600 S=720 Sig=60 (warm=780s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=600 S=720 Sig=60 (warm=780s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=600 S=720 Sig=60 (warm=780s)","TOTAL","full","376.14","","12","","",""
"F=600 S=720 Sig=120 (warm=840s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=600 S=720 Sig=120 (warm=840s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=600 S=720 Sig=120 (warm=840s)","TOTAL","full","376.14","","12","","",""
"F=600 S=720 Sig=180 (warm=900s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
"F=600 S=720 Sig=180 (warm=900s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=600 S=720 Sig=180 (warm=900s)","TOTAL","full","376.14","","12","","",""
"F=600 S=720 Sig=300 (warm=1020s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=600 S=720 Sig=300 (warm=1020s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=600 S=720 Sig=300 (warm=1020s)","TOTAL","full","376.14","","12","","",""
"F=600 S=1200 Sig=60 (warm=1260s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=600 S=1200 Sig=60 (warm=1260s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=600 S=1200 Sig=60 (warm=1260s)","TOTAL","full","376.14","","12","","",""
