"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"DZ=0.02 BT=0.08 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.02 BT=0.08 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DZ=0.02 BT=0.08 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.02 BT=0.08 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"DZ=0.02 BT=0.08 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DZ=0.02 BT=0.08 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.02 BT=0.08 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"DZ=0.02 BT=0.08 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.02 BT=0.08 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.01 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.01 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DZ=0.03 BT=0.01 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.01 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"DZ=0.03 BT=0.01 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DZ=0.03 BT=0.01 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.01 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.01 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.01 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.03 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.03 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.03 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.03 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.03 BT=0.03 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.03 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.03 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.03 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.03 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.05 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.05 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.05 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.05 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.03 BT=0.05 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.05 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.05 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.03 BT=0.05 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.05 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.08 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.08 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","6"
"DZ=0.03 BT=0.08 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.08 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.03 BT=0.08 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.03 BT=0.08 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.03 BT=0.08 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.03 BT=0.08 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","6"
"DZ=0.03 BT=0.08 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.01 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.01 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.01 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.01 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.05 BT=0.01 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.01 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.01 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.01 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","6"
"DZ=0.05 BT=0.01 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.03 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.05 BT=0.03 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.03 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.03 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.03 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","6"
"DZ=0.05 BT=0.03 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.03 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.05 BT=0.03 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.03 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.05 AW=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.05 BT=0.05 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.05 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.05 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.05 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.05 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.05 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DZ=0.05 BT=0.05 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.05 AW=30s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.08 AW=10s","20260211","full","196.96","1.97","6","199.86","27.93","7"
"DZ=0.05 BT=0.08 AW=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.08 AW=10s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.08 AW=15s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.08 AW=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DZ=0.05 BT=0.08 AW=15s","TOTAL","full","376.14","","12","","",""
"DZ=0.05 BT=0.08 AW=30s","20260211","full","196.96","1.97","6","205.66","27.93","6"
"DZ=0.05 BT=0.08 AW=30s","20260213","full","179.18","1.79","6","182.32","118.80","6"
"DZ=0.05 BT=0.08 AW=30s","TOTAL","full","376.14","","12","","",""
